,Open,High,Low,Close,Close_frac_diff,Close_frac_diff_d,Close_SMA,Close_slope,Close_volatility,Close_regime,Close_regime_label,Close_trend,Close_detail_1,Close_detail_2,Close_detail_3,Close_details,Close_SMA_5,Close_SMA_10,Close_SMA_20,Close_SMA_50,Close_SMA_200,Close_EMA_5,Close_EMA_10,Close_EMA_20,Close_EMA_50,Close_EMA_200,Close_MACD,Close_MACD_Signal,Close_MACD_Hist,ATR,Plus_DI,Minus_DI,DX,ADX,Close_RSI_7,Close_RSI_14,Close_RSI_21,%K,%D,Close_ROC_5,Close_ROC_10,Close_ROC_20,Close_ROC_60,CCI_20,Close_BB_MA,Close_BB_STD,Close_BB_Upper,Close_BB_Lower,Close_BB_Width,Close_BB_PctB,ATR_14,ATR_Pct_14,ATR_10,KC_Middle,KC_Upper,KC_Lower,KC_Width,body_size,body_size_pct,upper_shadow,lower_shadow,upper_shadow_pct,lower_shadow_pct,direction,doji,dragonfly_doji,gravestone_doji,long_legged_doji,hammer,shooting_star,bullish_engulfing,bearish_engulfing,body_high,body_low,morning_star,evening_star,has_pattern,pattern_confidence,is_peak,is_valley,peak_prominence,valley_prominence,hs_top,hs_bottom,hs_confidence,double_top,double_bottom,double_confidence,support_level,resistance_level,support_strength,resistance_strength,fib_0.000,fib_0.236,fib_0.382,fib_0.500,fib_0.618,fib_0.786,fib_1.000,has_reversal_pattern,upper_channel,lower_channel,channel_width,channel_breakout_up,channel_breakout_down,breakout_strength,returns,volatility,volatility_breakout_up,volatility_breakout_down,volatility_breakout_strength,breakout_up,breakout_down,has_breakout
2020-01-01,1.1212,1.1223,1.1205,1.121,,1.0,,,,0,sideways,1.1180458600262144,-9.181750134068043e-05,0.00026592738837951974,0.0012138457395600333,0.0013879556265988726,,,,,,1.121,1.121,1.121,1.121,1.121,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1.121,,,,0.00019999999999997797,0.11111111111109741,0.001100000000000101,0.0004999999999999449,0.6111111111111591,0.2777777777777435,-1,False,False,False,False,False,False,False,False,1.1212,1.121,False,False,False,0,False,False,,,False,False,0.0,False,False,0.0,,,0,0,,,,,,,,False,,,,False,False,0.0,,,False,False,0.0,False,False,False
2020-01-02,1.1212,1.1227,1.1163,1.117,,1.0,,,,0,sideways,1.117253256915614,0.0005908457409690228,-0.0019169522722096329,-0.001219969913253341,-0.002546076444493951,,,,,,1.1196666666666668,1.1202727272727273,1.1206190476190476,1.120843137254902,1.1209601990049751,-0.00031908831908844526,-6.381766381768905e-05,-0.0002552706552707562,,,,,,,,,,,,,,,,,,,,,,,,,1.1206190476190476,,,,0.0041999999999999815,0.6562500000000011,0.0015000000000000568,0.0006999999999999229,0.2343750000000103,0.10937499999998862,-1,False,False,False,False,False,False,False,False,1.1212,1.117,False,False,False,0,False,False,,,False,False,0.0,False,False,0.0,,,0,0,,,,,,,,False,,,,False,False,0.0,-0.003568242640499597,,False,False,0.0,False,False,False
2020-01-03,1.1172,1.1181,1.1125,1.1158,-0.0040000000000000036,1.0,,,,0,sideways,1.11630871201978,0.0014352472056762225,-0.0017329544479623587,-0.00012715038437371867,-0.0004248576266598548,,,,,,1.118377777777778,1.1194595041322313,1.1201600907029479,1.1206453671664744,1.1209088537412442,-0.0006611764514898866,-0.0001832894213521286,-0.000477887030137758,,,,,,,,,,,,,,,,,,,,,,,,,1.1201600907029479,,,,0.0014000000000000679,0.25000000000000994,0.0009000000000001229,0.0032999999999998586,0.16071428571430624,0.5892857142856839,-1,False,False,False,False,False,False,False,False,1.1172,1.1158,False,False,False,0,False,False,,,False,False,0.0,False,False,0.0,,,0,0,,,,,,,,False,,,,False,False,0.0,-0.0010743061772605644,,False,False,0.0,False,False,False
2020-01-04,1.1170666666666667,1.1189666666666667,1.1135,1.1169666666666667,-0.0012000000000000899,1.0,,,,0,sideways,1.1153129351763096,0.0020965369333436784,0.0017503216674108156,0.000955661889172675,0.0048025204899271685,,,,,,1.1179074074074076,1.119006260956674,1.1198559550804448,1.120501104401776,1.1208696279992085,-0.0008285920182642403,-0.00031234994073455093,-0.0005162420775296894,,,,,,,,,,,,,,,,,,,,,,,,,1.1198559550804448,,,,9.999999999998899e-05,0.01829268292682704,0.0019000000000000128,0.003466666666666729,0.34756097560975435,0.6341463414634186,-1,True,False,False,True,False,False,False,False,1.1170666666666667,1.1169666666666667,False,False,True,1,False,False,,,False,False,0.0,False,False,0.0,,,0,0,,,,,,,,False,,,,False,False,0.0,0.0010455876202426495,,False,False,0.0,False,False,False
2020-01-05,1.1169333333333333,1.1198333333333335,1.1145,1.1181333333333332,0.0011666666666667602,1.0,,,,0,sideways,1.1144731819764346,0.0020757983819764516,0.0025284333748092037,-0.0010264604437307747,0.0035777713130548806,1.11778,,,,,1.117982716049383,1.1188475468433392,1.1196918958664341,1.1204082506343862,1.1208424011866127,-0.0008572479901252095,-0.00042132955061268264,-0.00043591843951252683,,,,,,,,,,,,,,,,,,,,,,,,,1.1196918958664341,,,,0.0011999999999998678,0.2249999999999719,0.0017000000000002569,0.0024333333333332874,0.31875000000004344,0.45624999999998467,1,False,False,False,False,False,False,True,False,1.1181333333333332,1.1169333333333333,False,False,True,1,False,False,,,False,False,0.0,False,False,0.0,,,0,0,,,,,,,,False,,,,False,False,0.0,0.001044495508669252,,False,False,0.0,False,False,False
2020-01-06,1.1168,1.1207,1.1155,1.1193,0.0011666666666665382,1.0,,,,0,sideways,1.1139163195699717,0.001078659629947244,-0.0007396977208295238,0.00022258626677992154,0.0005615481758976418,1.11744,,,,,1.1184218106995887,1.1189298110536412,1.1196545724505833,1.1203647898251947,1.120827053911124,-0.0007768626158648484,-0.0004924361636631158,-0.0002844264522017326,,,,,,,,,,,-0.15165031222122982,,,,,,,,,,,,,,1.1196545724505833,,,,0.0024999999999999467,0.4807692307692119,0.0014000000000000679,0.0013000000000000789,0.26923076923077743,0.25000000000001066,1,False,False,False,False,False,False,False,False,1.1193,1.1168,False,False,False,0,False,False,,,False,False,0.0,False,False,0.0,,,0,0,,,,,,,,False,,,,False,False,0.0,0.0010434056761270405,,False,False,0.0,False,False,False
2020-01-07,1.1197,1.1198,1.1132,1.1151,0.0011666666666667602,1.0,,,,0,sideways,1.1136667120056043,-0.0005064682856975408,-0.0022051460426556735,0.0008447185209111552,-0.0018668958074420589,1.11706,,,,,1.1173145404663924,1.118233481771161,1.1192208036457658,1.1201583274791087,1.120770068300068,-0.0010400722216052927,-0.0006019633752515511,-0.0004381088463537415,,,,,,,,,,,-0.17009847806624956,,,,,,,,,,,,,,1.1192208036457658,,,,0.0045999999999999375,0.6969696969696939,9.999999999998899e-05,0.0019000000000000128,0.015151515151513622,0.28787878787879245,-1,False,False,False,False,False,False,False,True,1.1197,1.1151,False,False,True,1,False,False,,,False,False,0.0,False,False,0.0,,,0,0,,,,,,,,False,,,,False,False,0.0,-0.0037523452157598447,,False,False,0.0,False,False,False
2020-01-08,1.1154,1.1169,1.1102,1.1103,-0.0041999999999999815,1.0,,,,0,sideways,1.113692468554671,-0.0021405916493340586,-0.0006877637182236834,-0.0006550976772507414,-0.0034834530448084834,1.11596,,,,,1.1149763603109284,1.1167910305400408,1.11837120329855,1.1197717264014966,1.120665888515988,-0.0016173438816970975,-0.0008050394765406605,-0.0008123044051564371,,,,,,19.7740112994353,,,,,-0.49291987811433957,,,,,,,,,,,,,,1.11837120329855,,,,0.005099999999999882,0.7611940298507369,0.0015000000000000568,9.999999999998899e-05,0.22388059701493626,0.014925373134326875,-1,False,False,False,False,False,False,False,False,1.1154,1.1103,False,False,False,0,False,False,,,False,False,0.0,False,False,0.0,,,0,0,,,,,,,,False,,,,False,False,0.0,-0.004304546677427967,,False,False,0.0,False,False,False
2020-01-09,1.1106,1.1122,1.1092,1.1105,-0.0047999999999999154,1.0,,,,0,sideways,1.1138166190085506,-0.0030571662992700224,0.0006302307627657164,-0.00036411318711341217,-0.0027910487236177182,1.114666666666667,,,,,1.1134842402072858,1.115647206805488,1.1176215648891643,1.1194081292877125,1.1205647353964259,-0.0020352365626046254,-0.0010510788937534536,-0.0009841576688511718,,,,,,26.618705035971445,,,,,-0.5789489390909841,,,,,,,,,,,,,,1.1176215648891643,,,,9.999999999998899e-05,0.0333333333333284,0.0016000000000000458,0.0013000000000000789,0.5333333333333284,0.43333333333334323,-1,True,False,False,True,False,False,False,False,1.1106,1.1105,False,False,True,1,False,False,,,False,False,0.0,False,False,0.0,,,0,0,,,,,,,,False,,,,False,False,0.0,0.00018013149599216405,,False,False,0.0,False,False,False
2020-01-10,1.1106,1.113,1.1085,1.112,0.00019999999999997797,1.0,,,,0,sideways,1.113887562245852,-0.0027050475837460067,0.0012950758858507425,0.0006103165279538223,-0.0007996551699414419,1.11344,1.11561,,,,1.1129894934715239,1.1149840782953993,1.117086177756863,1.1191176144136845,1.1204795141487003,-0.0022197936594681167,-0.0012848218468963864,-0.0009349718125717303,,,,,,36.61971830985984,,,,,-0.5485332697352518,,,,,,,,,,,,,0.0054222222222222415,1.117086177756863,1.1279306222013075,1.1062417333124186,0.019415591492180754,0.0014000000000000679,0.31111111111112977,0.0009999999999998899,0.0020999999999999908,0.22222222222220028,0.46666666666666995,1,False,False,False,False,False,False,False,False,1.112,1.1106,False,False,False,0,False,False,,,False,False,0.0,False,False,0.0,,,0,0,,,,,,,,False,,,,False,False,0.0,0.0013507429085997114,,False,False,0.0,False,False,False
