,Close_target
2020-02-09,1.0909
2020-02-10,1.0914
2020-02-11,1.0871
2020-02-12,1.084
2020-02-13,1.083
2020-02-14,1.0831333333333333
2020-02-15,1.0832666666666666
2020-02-16,1.0834
2020-02-17,1.0791
2020-02-18,1.0804
2020-02-19,1.0783
2020-02-20,1.0843
2020-02-21,1.0846
2020-02-22,1.0849
2020-02-23,1.0852
2020-02-24,1.0879
2020-02-25,1.0879
2020-02-26,1.0998
2020-02-27,1.1025
2020-02-28,1.1060666666666668
2020-02-29,1.1096333333333332
2020-03-01,1.1132
2020-03-02,1.1171
2020-03-03,1.1134
2020-03-04,1.1239
2020-03-05,1.1285
2020-03-06,1.1339000000000001
2020-03-07,1.1393
2020-03-08,1.1447
2020-03-09,1.1279
2020-03-10,1.1267
2020-03-11,1.1183
2020-03-12,1.1105
2020-03-13,1.1130333333333333
2020-03-14,1.1155666666666668
2020-03-15,1.1181
2020-03-16,1.0996
2020-03-17,1.0913
2020-03-18,1.069
2020-03-19,1.0694
2020-03-20,1.0703
2020-03-21,1.0712
2020-03-22,1.0721
2020-03-23,1.0787
2020-03-24,1.088
2020-03-25,1.1028
2020-03-26,1.114
2020-03-27,1.1108666666666667
2020-03-28,1.1077333333333335
2020-03-29,1.1046
2020-03-30,1.1029
2020-03-31,1.0962
2020-04-01,1.0856
2020-04-02,1.0808
2020-04-03,1.0802333333333334
2020-04-04,1.0796666666666666
2020-04-05,1.0791
2020-04-06,1.0889
2020-04-07,1.0856
2020-04-08,1.0927
2020-04-09,1.0935
2020-04-10,1.0927666666666667
2020-04-11,1.0920333333333332
2020-04-12,1.0913
2020-04-13,1.0979
2020-04-14,1.0907
2020-04-15,1.0835
2020-04-16,1.0876
2020-04-17,1.0871333333333333
2020-04-18,1.0866666666666667
2020-04-19,1.0862
2020-04-20,1.0856
2020-04-21,1.0822
2020-04-22,1.0776
2020-04-23,1.082
2020-04-24,1.0822666666666667
2020-04-25,1.0825333333333333
2020-04-26,1.0828
2020-04-27,1.0818
2020-04-28,1.0873
2020-04-29,1.0955
2020-04-30,1.0983
2020-05-01,1.0957333333333334
2020-05-02,1.0931666666666666
2020-05-03,1.0906
2020-05-04,1.0838
2020-05-05,1.0794
2020-05-06,1.0832
2020-05-07,1.084
2020-05-08,1.0828666666666666
2020-05-09,1.0817333333333334
2020-05-10,1.0806
2020-05-11,1.0846
2020-05-12,1.0816
2020-05-13,1.0804
2020-05-14,1.0815
2020-05-15,1.0847333333333333
2020-05-16,1.0879666666666665
2020-05-17,1.0912
2020-05-18,1.0921
2020-05-19,1.0977
2020-05-20,1.0949
2020-05-21,1.09
2020-05-22,1.0899666666666668
2020-05-23,1.0899333333333334
2020-05-24,1.0899
2020-05-25,1.098
2020-05-26,1.1003
2020-05-27,1.1076
2020-05-28,1.1098
2020-05-29,1.111
2020-05-30,1.1121999999999999
2020-05-31,1.1134
2020-06-01,1.1169
2020-06-02,1.1232
2020-06-03,1.1336
2020-06-04,1.1284
2020-06-05,1.1286666666666667
2020-06-06,1.1289333333333333
2020-06-07,1.1292
2020-06-08,1.134
2020-06-09,1.1369
2020-06-10,1.1297
2020-06-11,1.1254
2020-06-12,1.1276666666666666
2020-06-13,1.1299333333333335
2020-06-14,1.1322
2020-06-15,1.1263
2020-06-16,1.1243
2020-06-17,1.1202
2020-06-18,1.1175
2020-06-19,1.1202666666666665
