,Close_target
2020-02-09,1.2913
2020-02-10,1.2951
2020-02-11,1.296
2020-02-12,1.3045
2020-02-13,1.3046
2020-02-14,1.3032666666666666
2020-02-15,1.3019333333333334
2020-02-16,1.3006
2020-02-17,1.2998
2020-02-18,1.2919
2020-02-19,1.2879
2020-02-20,1.2969
2020-02-21,1.2954999999999999
2020-02-22,1.2941
2020-02-23,1.2927
2020-02-24,1.3004
2020-02-25,1.2903
2020-02-26,1.2884
2020-02-27,1.282
2020-02-28,1.2796666666666667
2020-02-29,1.2773333333333332
2020-03-01,1.275
2020-03-02,1.281
2020-03-03,1.287
2020-03-04,1.2954
2020-03-05,1.3047
2020-03-06,1.3074999999999999
2020-03-07,1.3103
2020-03-08,1.3131
2020-03-09,1.2906
2020-03-10,1.282
2020-03-11,1.2571
2020-03-12,1.2276
2020-03-13,1.2272666666666667
2020-03-14,1.2269333333333332
2020-03-15,1.2266
2020-03-16,1.205
2020-03-17,1.1613
2020-03-18,1.1485
2020-03-19,1.1641
2020-03-20,1.161
2020-03-21,1.1579
2020-03-22,1.1548
2020-03-23,1.1757
2020-03-24,1.1885
2020-03-25,1.2201
2020-03-26,1.2456
2020-03-27,1.2442666666666666
2020-03-28,1.2429333333333334
2020-03-29,1.2416
2020-03-30,1.2418
2020-03-31,1.2376
2020-04-01,1.2392
2020-04-02,1.226
2020-04-03,1.2249666666666668
2020-04-04,1.2239333333333333
2020-04-05,1.2229
2020-04-06,1.2337
2020-04-07,1.2385
2020-04-08,1.2455
2020-04-09,1.2452
2020-04-10,1.2470333333333334
2020-04-11,1.2488666666666666
2020-04-12,1.2507
2020-04-13,1.2623
2020-04-14,1.2514
2020-04-15,1.2455
2020-04-16,1.2499
2020-04-17,1.2477666666666667
2020-04-18,1.2456333333333334
2020-04-19,1.2435
2020-04-20,1.2293
2020-04-21,1.2332
2020-04-22,1.2342
2020-04-23,1.2367
2020-04-24,1.2387333333333332
2020-04-25,1.2407666666666666
2020-04-26,1.2428
2020-04-27,1.2421
2020-04-28,1.2464
2020-04-29,1.2592
2020-04-30,1.2502
2020-05-01,1.2482
2020-05-02,1.2462
2020-05-03,1.2442
2020-05-04,1.2434
2020-05-05,1.2341
2020-05-06,1.2361
2020-05-07,1.2407
2020-05-08,1.2383
2020-05-09,1.2359
2020-05-10,1.2335
2020-05-11,1.2259
2020-05-12,1.2229
2020-05-13,1.2226
2020-05-14,1.2104
2020-05-15,1.2132333333333334
2020-05-16,1.2160666666666666
2020-05-17,1.2189
2020-05-18,1.2251
2020-05-19,1.2239
2020-05-20,1.2222
2020-05-21,1.2164
2020-05-22,1.2169999999999999
2020-05-23,1.2176
2020-05-24,1.2182
2020-05-25,1.2331
2020-05-26,1.225
2020-05-27,1.2316
2020-05-28,1.2344
2020-05-29,1.2393333333333334
2020-05-30,1.2442666666666666
2020-05-31,1.2492
2020-06-01,1.2549
2020-06-02,1.2572
2020-06-03,1.2594
2020-06-04,1.2663
2020-06-05,1.2682666666666667
2020-06-06,1.2702333333333333
2020-06-07,1.2722
2020-06-08,1.2729
2020-06-09,1.2745
2020-06-10,1.26
2020-06-11,1.254
2020-06-12,1.2560666666666667
2020-06-13,1.2581333333333333
2020-06-14,1.2602
2020-06-15,1.2574
2020-06-16,1.2554
2020-06-17,1.2424
2020-06-18,1.2356
2020-06-19,1.2391
2020-06-20,1.2426
2020-06-21,1.2461
2020-06-22,1.2518
2020-06-23,1.2418
2020-06-24,1.2414
2020-06-25,1.2333
2020-06-26,1.2320666666666666
2020-06-27,1.2308333333333334
2020-06-28,1.2296
2020-06-29,1.2399
2020-06-30,1.247
2020-07-01,1.2466
2020-07-02,1.2483
2020-07-03,1.2485666666666666
2020-07-04,1.2488333333333335
2020-07-05,1.2491
2020-07-06,1.254
2020-07-07,1.2609
2020-07-08,1.2604
2020-07-09,1.262
2020-07-10,1.2597333333333334
2020-07-11,1.2574666666666667
2020-07-12,1.2552
2020-07-13,1.2548
2020-07-14,1.258
2020-07-15,1.2549
2020-07-16,1.2565
2020-07-17,1.2596666666666667
2020-07-18,1.2628333333333333
2020-07-19,1.266
2020-07-20,1.2728
2020-07-21,1.2732
2020-07-22,1.2739
2020-07-23,1.2789
2020-07-24,1.2819666666666667
