,Close_target
2020-02-09,109.74
2020-02-10,109.77
2020-02-11,110.08
2020-02-12,109.81
2020-02-13,109.74
2020-02-14,109.78666666666666
2020-02-15,109.83333333333333
2020-02-16,109.88
2020-02-17,109.86
2020-02-18,111.35
2020-02-19,112.11
2020-02-20,111.57
2020-02-21,111.28333333333333
2020-02-22,110.99666666666666
2020-02-23,110.71
2020-02-24,110.18
2020-02-25,110.42
2020-02-26,109.58
2020-02-27,108.07
2020-02-28,108.14666666666666
2020-02-29,108.22333333333333
2020-03-01,108.3
2020-03-02,107.12
2020-03-03,107.52
2020-03-04,106.16
2020-03-05,105.3
2020-03-06,104.31333333333333
2020-03-07,103.32666666666667
2020-03-08,102.34
2020-03-09,105.63
2020-03-10,104.53
2020-03-11,104.63
2020-03-12,107.91
2020-03-13,107.22333333333333
2020-03-14,106.53666666666666
2020-03-15,105.85
2020-03-16,107.67
2020-03-17,108.06
2020-03-18,110.69
2020-03-19,110.8
2020-03-20,110.93333333333334
2020-03-21,111.06666666666666
2020-03-22,111.2
2020-03-23,111.21
2020-03-24,111.19
2020-03-25,109.58
2020-03-26,107.89
2020-03-27,107.86333333333333
2020-03-28,107.83666666666667
2020-03-29,107.81
2020-03-30,107.53
2020-03-31,107.15
2020-04-01,107.9
2020-04-02,108.45
2020-04-03,108.7
2020-04-04,108.95
2020-04-05,109.2
2020-04-06,108.7
2020-04-07,108.81
2020-04-08,108.46
2020-04-09,108.46
2020-04-10,108.22666666666666
2020-04-11,107.99333333333334
2020-04-12,107.76
2020-04-13,107.2
2020-04-14,107.47
2020-04-15,107.94
2020-04-16,107.51
2020-04-17,107.54333333333334
2020-04-18,107.57666666666667
2020-04-19,107.61
2020-04-20,107.76
2020-04-21,107.72
2020-04-22,107.58
2020-04-23,107.5
2020-04-24,107.40666666666667
2020-04-25,107.31333333333333
2020-04-26,107.22
2020-04-27,106.86
2020-04-28,106.7
2020-04-29,107.17
2020-04-30,106.93
2020-05-01,106.86333333333334
2020-05-02,106.79666666666667
2020-05-03,106.73
2020-05-04,106.58
2020-05-05,106.14
2020-05-06,106.27
2020-05-07,106.65
2020-05-08,106.98666666666666
2020-05-09,107.32333333333334
2020-05-10,107.66
2020-05-11,107.13
2020-05-12,107.02
2020-05-13,107.24
2020-05-14,107.02
2020-05-15,107.12333333333333
2020-05-16,107.22666666666666
2020-05-17,107.33
2020-05-18,107.68
2020-05-19,107.51
2020-05-20,107.61
2020-05-21,107.61
2020-05-22,107.63666666666667
2020-05-23,107.66333333333333
2020-05-24,107.69
2020-05-25,107.52
2020-05-26,107.71
2020-05-27,107.63
2020-05-28,107.77
2020-05-29,107.70666666666666
2020-05-30,107.64333333333333
2020-05-31,107.58
2020-06-01,108.66
2020-06-02,108.89
2020-06-03,109.13
2020-06-04,109.58
2020-06-05,109.19333333333333
2020-06-06,108.80666666666667
2020-06-07,108.42
2020-06-08,107.72
2020-06-09,107.09
2020-06-10,106.85
2020-06-11,107.34
2020-06-12,107.33
2020-06-13,107.32000000000001
2020-06-14,107.31
2020-06-15,107.32
2020-06-16,107.0
2020-06-17,106.96
2020-06-18,106.87
2020-06-19,106.87
2020-06-20,106.87
2020-06-21,106.87
2020-06-22,106.51
2020-06-23,107.02
2020-06-24,107.19
2020-06-25,107.21
2020-06-26,107.32666666666667
2020-06-27,107.44333333333333
2020-06-28,107.56
2020-06-29,107.92
2020-06-30,107.46
2020-07-01,107.48
2020-07-02,107.5
2020-07-03,107.45
2020-07-04,107.39999999999999
2020-07-05,107.35
2020-07-06,107.51
2020-07-07,107.25
2020-07-08,107.19
2020-07-09,106.89
2020-07-10,107.01333333333334
2020-07-11,107.13666666666667
2020-07-12,107.26
2020-07-13,107.23
2020-07-14,106.92
2020-07-15,107.26
2020-07-16,106.99
2020-07-17,107.07333333333332
2020-07-18,107.15666666666667
2020-07-19,107.24
2020-07-20,106.76
2020-07-21,107.14
2020-07-22,106.85
2020-07-23,106.12
2020-07-24,105.87
2020-07-25,105.62
2020-07-26,105.37
2020-07-27,105.08
2020-07-28,104.91
2020-07-29,104.72
2020-07-30,105.88
2020-07-31,105.89999999999999
2020-08-01,105.92
2020-08-02,105.94
2020-08-03,105.7
2020-08-04,105.57
2020-08-05,105.54
2020-08-06,105.91
2020-08-07,105.92333333333333
2020-08-08,105.93666666666667
2020-08-09,105.95
2020-08-10,106.48
2020-08-11,106.89
2020-08-12,106.92
2020-08-13,106.59
2020-08-14,106.39
2020-08-15,106.19
2020-08-16,105.99
2020-08-17,105.42
2020-08-18,106.1
2020-08-19,105.79
2020-08-20,105.78
2020-08-21,105.84333333333333
2020-08-22,105.90666666666667
2020-08-23,105.97
2020-08-24,106.36
2020-08-25,105.98
2020-08-26,106.55
2020-08-27,105.34
2020-08-28,105.52333333333334
2020-08-29,105.70666666666666
2020-08-30,105.89
2020-08-31,105.95
2020-09-01,106.18
