,EURUSD,GBPUSD,USDJPY
2020-02-09,1.0909,1.2913,109.74
2020-02-10,1.0914,1.2951,109.77
2020-02-11,1.0871,1.296,110.08
2020-02-12,1.084,1.3045,109.81
2020-02-13,1.083,1.3046,109.74
2020-02-14,1.0831333333333333,1.3032666666666666,109.78666666666666
2020-02-15,1.0832666666666666,1.3019333333333334,109.83333333333333
2020-02-16,1.0834,1.3006,109.88
2020-02-17,1.0791,1.2998,109.86
2020-02-18,1.0804,1.2919,111.35
2020-02-19,1.0783,1.2879,112.11
2020-02-20,1.0843,1.2969,111.57
2020-02-21,1.0846,1.2954999999999999,111.28333333333333
2020-02-22,1.0849,1.2941,110.99666666666666
2020-02-23,1.0852,1.2927,110.71
2020-02-24,1.0879,1.3004,110.18
2020-02-25,1.0879,1.2903,110.42
2020-02-26,1.0998,1.2884,109.58
2020-02-27,1.1025,1.282,108.07
2020-02-28,1.1060666666666668,1.2796666666666667,108.14666666666666
2020-02-29,1.1096333333333332,1.2773333333333332,108.22333333333333
2020-03-01,1.1132,1.275,108.3
2020-03-02,1.1171,1.281,107.12
2020-03-03,1.1134,1.287,107.52
2020-03-04,1.1239,1.2954,106.16
2020-03-05,1.1285,1.3047,105.3
2020-03-06,1.1339000000000001,1.3074999999999999,104.31333333333333
2020-03-07,1.1393,1.3103,103.32666666666667
2020-03-08,1.1447,1.3131,102.34
2020-03-09,1.1279,1.2906,105.63
2020-03-10,1.1267,1.282,104.53
2020-03-11,1.1183,1.2571,104.63
2020-03-12,1.1105,1.2276,107.91
2020-03-13,1.1130333333333333,1.2272666666666667,107.22333333333333
2020-03-14,1.1155666666666668,1.2269333333333332,106.53666666666666
2020-03-15,1.1181,1.2266,105.85
2020-03-16,1.0996,1.205,107.67
2020-03-17,1.0913,1.1613,108.06
2020-03-18,1.069,1.1485,110.69
2020-03-19,1.0694,1.1641,110.8
2020-03-20,1.0703,1.161,110.93333333333334
2020-03-21,1.0712,1.1579,111.06666666666666
2020-03-22,1.0721,1.1548,111.2
2020-03-23,1.0787,1.1757,111.21
2020-03-24,1.088,1.1885,111.19
2020-03-25,1.1028,1.2201,109.58
2020-03-26,1.114,1.2456,107.89
2020-03-27,1.1108666666666667,1.2442666666666666,107.86333333333333
2020-03-28,1.1077333333333335,1.2429333333333334,107.83666666666667
2020-03-29,1.1046,1.2416,107.81
2020-03-30,1.1029,1.2418,107.53
2020-03-31,1.0962,1.2376,107.15
2020-04-01,1.0856,1.2392,107.9
2020-04-02,1.0808,1.226,108.45
2020-04-03,1.0802333333333334,1.2249666666666668,108.7
2020-04-04,1.0796666666666666,1.2239333333333333,108.95
2020-04-05,1.0791,1.2229,109.2
2020-04-06,1.0889,1.2337,108.7
2020-04-07,1.0856,1.2385,108.81
2020-04-08,1.0927,1.2455,108.46
2020-04-09,1.0935,1.2452,108.46
2020-04-10,1.0927666666666667,1.2470333333333334,108.22666666666666
2020-04-11,1.0920333333333332,1.2488666666666666,107.99333333333334
2020-04-12,1.0913,1.2507,107.76
2020-04-13,1.0979,1.2623,107.2
2020-04-14,1.0907,1.2514,107.47
2020-04-15,1.0835,1.2455,107.94
2020-04-16,1.0876,1.2499,107.51
2020-04-17,1.0871333333333333,1.2477666666666667,107.54333333333334
2020-04-18,1.0866666666666667,1.2456333333333334,107.57666666666667
2020-04-19,1.0862,1.2435,107.61
2020-04-20,1.0856,1.2293,107.76
2020-04-21,1.0822,1.2332,107.72
2020-04-22,1.0776,1.2342,107.58
2020-04-23,1.082,1.2367,107.5
2020-04-24,1.0822666666666667,1.2387333333333332,107.40666666666667
2020-04-25,1.0825333333333333,1.2407666666666666,107.31333333333333
2020-04-26,1.0828,1.2428,107.22
2020-04-27,1.0818,1.2421,106.86
2020-04-28,1.0873,1.2464,106.7
2020-04-29,1.0955,1.2592,107.17
2020-04-30,1.0983,1.2502,106.93
2020-05-01,1.0957333333333334,1.2482,106.86333333333334
2020-05-02,1.0931666666666666,1.2462,106.79666666666667
2020-05-03,1.0906,1.2442,106.73
2020-05-04,1.0838,1.2434,106.58
2020-05-05,1.0794,1.2341,106.14
2020-05-06,1.0832,1.2361,106.27
2020-05-07,1.084,1.2407,106.65
2020-05-08,1.0828666666666666,1.2383,106.98666666666666
2020-05-09,1.0817333333333334,1.2359,107.32333333333334
2020-05-10,1.0806,1.2335,107.66
2020-05-11,1.0846,1.2259,107.13
2020-05-12,1.0816,1.2229,107.02
2020-05-13,1.0804,1.2226,107.24
2020-05-14,1.0815,1.2104,107.02
2020-05-15,1.0847333333333333,1.2132333333333334,107.12333333333333
2020-05-16,1.0879666666666665,1.2160666666666666,107.22666666666666
2020-05-17,1.0912,1.2189,107.33
2020-05-18,1.0921,1.2251,107.68
2020-05-19,1.0977,1.2239,107.51
2020-05-20,1.0949,1.2222,107.61
2020-05-21,1.09,1.2164,107.61
2020-05-22,1.0899666666666668,1.2169999999999999,107.63666666666667
2020-05-23,1.0899333333333334,1.2176,107.66333333333333
2020-05-24,1.0899,1.2182,107.69
2020-05-25,1.098,1.2331,107.52
2020-05-26,1.1003,1.225,107.71
2020-05-27,1.1076,1.2316,107.63
2020-05-28,1.1098,1.2344,107.77
2020-05-29,1.111,1.2393333333333334,107.70666666666666
2020-05-30,1.1121999999999999,1.2442666666666666,107.64333333333333
2020-05-31,1.1134,1.2492,107.58
2020-06-01,1.1169,1.2549,108.66
2020-06-02,1.1232,1.2572,108.89
2020-06-03,1.1336,1.2594,109.13
2020-06-04,1.1284,1.2663,109.58
2020-06-05,1.1286666666666667,1.2682666666666667,109.19333333333333
2020-06-06,1.1289333333333333,1.2702333333333333,108.80666666666667
2020-06-07,1.1292,1.2722,108.42
2020-06-08,1.134,1.2729,107.72
2020-06-09,1.1369,1.2745,107.09
2020-06-10,1.1297,1.26,106.85
2020-06-11,1.1254,1.254,107.34
2020-06-12,1.1276666666666666,1.2560666666666667,107.33
2020-06-13,1.1299333333333335,1.2581333333333333,107.32000000000001
2020-06-14,1.1322,1.2602,107.31
2020-06-15,1.1263,1.2574,107.32
2020-06-16,1.1243,1.2554,107.0
2020-06-17,1.1202,1.2424,106.96
2020-06-18,1.1175,1.2356,106.87
2020-06-19,1.1202666666666665,1.2391,106.87
2020-06-20,1.1230333333333333,1.2426,106.87
2020-06-21,1.1258,1.2461,106.87
2020-06-22,1.1306,1.2518,106.51
2020-06-23,1.125,1.2418,107.02
2020-06-24,1.1217,1.2414,107.19
2020-06-25,1.1217,1.2333,107.21
2020-06-26,1.1224666666666667,1.2320666666666666,107.32666666666667
2020-06-27,1.1232333333333333,1.2308333333333334,107.44333333333333
2020-06-28,1.124,1.2296,107.56
2020-06-29,1.1231,1.2399,107.92
2020-06-30,1.125,1.247,107.46
2020-07-01,1.1238,1.2466,107.48
2020-07-02,1.1248,1.2483,107.5
2020-07-03,1.1268,1.2485666666666666,107.45
2020-07-04,1.1288,1.2488333333333335,107.39999999999999
2020-07-05,1.1308,1.2491,107.35
2020-07-06,1.127,1.254,107.51
2020-07-07,1.1329,1.2609,107.25
2020-07-08,1.1281,1.2604,107.19
2020-07-09,1.1298,1.262,106.89
2020-07-10,1.1312,1.2597333333333334,107.01333333333334
2020-07-11,1.1325999999999998,1.2574666666666667,107.13666666666667
2020-07-12,1.134,1.2552,107.26
2020-07-13,1.1396,1.2548,107.23
2020-07-14,1.141,1.258,106.92
2020-07-15,1.1383,1.2549,107.26
2020-07-16,1.1426,1.2565,106.99
2020-07-17,1.1432,1.2596666666666667,107.07333333333332
2020-07-18,1.1438000000000001,1.2628333333333333,107.15666666666667
2020-07-19,1.1444,1.266,107.24
2020-07-20,1.1526,1.2728,106.76
2020-07-21,1.1568,1.2732,107.14
2020-07-22,1.1594,1.2739,106.85
2020-07-23,1.1654,1.2789,106.12
2020-07-24,1.1686333333333334,1.2819666666666667,105.87
2020-07-25,1.1718666666666666,1.2850333333333332,105.62
2020-07-26,1.1751,1.2881,105.37
2020-07-27,1.1714,1.293,105.08
2020-07-28,1.179,1.2995,104.91
2020-07-29,1.1846,1.3093,104.72
2020-07-30,1.1774,1.3088,105.88
2020-07-31,1.1769666666666667,1.3082666666666667,105.89999999999999
2020-08-01,1.1765333333333332,1.3077333333333332,105.92
2020-08-02,1.1761,1.3072,105.94
2020-08-03,1.18,1.306,105.7
2020-08-04,1.1861,1.3112,105.57
2020-08-05,1.1875,1.3146,105.54
2020-08-06,1.1786,1.3051,105.91
2020-08-07,1.1769333333333334,1.3057333333333332,105.92333333333333
2020-08-08,1.1752666666666667,1.3063666666666667,105.93666666666667
2020-08-09,1.1736,1.307,105.95
2020-08-10,1.1739,1.3048,106.48
2020-08-11,1.1782,1.3032,106.89
2020-08-12,1.1812,1.3063,106.92
2020-08-13,1.1841,1.3084,106.59
2020-08-14,1.1850333333333334,1.309,106.39
2020-08-15,1.1859666666666666,1.3096,106.19
2020-08-16,1.1869,1.3102,105.99
2020-08-17,1.1929,1.3235,105.42
2020-08-18,1.1836,1.3098,106.1
2020-08-19,1.1859,1.3212,105.79
2020-08-20,1.1795,1.3087,105.78
2020-08-21,1.1792333333333334,1.3079,105.84333333333333
2020-08-22,1.1789666666666667,1.3071,105.90666666666667
2020-08-23,1.1787,1.3063,105.97
2020-08-24,1.1833,1.315,106.36
2020-08-25,1.1829,1.3208,105.98
2020-08-26,1.1821,1.3198,106.55
2020-08-27,1.1903,1.3349,105.34
2020-08-28,1.1914,1.3355666666666666,105.52333333333334
2020-08-29,1.1925,1.3362333333333334,105.70666666666666
2020-08-30,1.1936,1.3369,105.89
2020-08-31,1.191,1.3381,105.95
2020-09-01,1.1853,1.3352,106.18
2020-09-02,1.1849,1.328,106.17
2020-09-03,1.1838,1.3282,106.23
2020-09-04,1.1831,1.3243333333333334,106.23666666666666
2020-09-05,1.1824,1.3204666666666667,106.24333333333334
2020-09-06,1.1817,1.3166,106.25
2020-09-07,1.1779,1.2987,106.01
2020-09-08,1.1802,1.3,106.17
2020-09-09,1.1813,1.2803,106.13
2020-09-10,1.1845,1.2793,106.14
2020-09-11,1.1852666666666667,1.2810000000000001,106.0
2020-09-12,1.1860333333333335,1.2827,105.86
2020-09-13,1.1868,1.2844,105.72
