Approach,Currency Pair,Model,mse,rmse,mae,r2,mape,directional_accuracy
Single,EURUSD,lstm,0.0,0.0046,0.0037,0.6971,0.3295,65.7895
Single,EURUSD,xgboost,0.0001,0.0121,0.0103,-1.1204,0.9089,73.6842
Single,EURUSD,gru,0.0,0.0036,0.0028,0.813,0.2462,73.6842
Single,GBPUSD,lstm,0.0,0.0026,0.002,0.8581,0.1498,65.7895
Single,GBPUSD,xgboost,0.0,0.0055,0.0042,0.3533,0.3126,60.5263
Single,GBPUSD,gru,0.0,0.0024,0.0018,0.8785,0.135,71.0526
Single,USDJPY,lstm,7.1097,2.6664,2.636,-22.3797,2.2903,71.0526
Single,USDJPY,xgboost,23.7794,4.8764,4.8514,-77.1963,4.2162,76.3158
Single,USDJPY,gru,2.5826,1.6071,1.5908,-7.4927,1.3825,63.1579
Bagging,EURUSD,lstm,1344.3811,36.6658,36.6657,-19400897.6791,3240.8009,44.7368
Bagging,EURUSD,xgboost,1338.4671,36.5851,36.585,-19315551.8975,3233.6702,52.6316
Bagging,EURUSD,gru,1369.5316,37.0072,37.0069,-19763847.8163,3270.9858,36.8421
Bagging,GBPUSD,lstm,1328.3103,36.446,36.4459,-28591331.1687,2697.2638,50.0
Bagging,GBPUSD,xgboost,1322.4319,36.3653,36.3652,-28464800.262,2691.2974,47.3684
Bagging,GBPUSD,gru,1353.3103,36.7874,36.7871,-29129446.5611,2722.5214,50.0
Bagging,USDJPY,lstm,5962.5666,77.2177,77.2162,-19606.3114,67.1364,57.8947
Bagging,USDJPY,xgboost,5975.0724,77.2986,77.2969,-19647.4353,67.2063,60.5263
Bagging,USDJPY,gru,5909.9714,76.8763,76.875,-19433.3573,66.8397,57.8947
